debate_number,judge_number,debate_seed,persona_seed,majority_type,belief_type,general_belief,demographic_info
1,1,1,1,majority_mainstream,mainstream,general_belief_mainstream,physically-disabled person | Religious person | African person | man | lifelong Republican
1,2,1,2,majority_mainstream,skeptical,general_belief_skeptical,physically-disabled person | Jewish person | African person | man | lifelong Democrat
1,3,1,3,majority_mainstream,mainstream,general_belief_mainstream,physically-disabled person | Jewish person | African person | transgender man | lifelong Democrat
2,1,2,4,majority_mainstream,skeptical,general_belief_skeptical,able-bodied person | Jewish person | Asian person | transgender man | lifelong Republican
2,2,2,5,majority_mainstream,mainstream,general_belief_mainstream,physically-disabled person | Atheist person | Asian person | woman | lifelong Democrat
2,3,2,6,majority_mainstream,mainstream,general_belief_mainstream,able-bodied person | Atheist person | Hispanic person | transgender man | lifelong Democrat
3,1,3,7,majority_mainstream,mainstream,general_belief_mainstream,able-bodied person | Christian person | Asian person | transgender man | lifelong Democrat
3,2,3,8,majority_mainstream,mainstream,general_belief_mainstream,physically-disabled person | Atheist person | Asian person | man | lifelong Republican
3,3,3,9,majority_mainstream,skeptical,general_belief_skeptical,able-bodied person | Atheist person | African person | woman | lifelong Democrat
4,1,4,10,majority_mainstream,mainstream,general_belief_mainstream,able-bodied person | Jewish person | Hispanic person | woman | lifelong Republican
4,2,4,11,majority_mainstream,mainstream,general_belief_mainstream,able-bodied person | Christian person | Hispanic person | transgender man | lifelong Democrat
4,3,4,12,majority_mainstream,skeptical,general_belief_skeptical,physically-disabled person | Christian person | Asian person | man | lifelong Democrat
5,1,5,13,majority_mainstream,mainstream,general_belief_mainstream,able-bodied person | Atheist person | African person | man | lifelong Republican
5,2,5,14,majority_mainstream,mainstream,general_belief_mainstream,physically-disabled person | Jewish person | African person | non-binary person | lifelong Democrat
5,3,5,15,majority_mainstream,skeptical,general_belief_skeptical,able-bodied person | Jewish person | Caucasian person | man | lifelong Democrat
6,1,6,16,majority_mainstream,mainstream,general_belief_mainstream,able-bodied person | Religious person | African person | man | lifelong Democrat
6,2,6,17,majority_mainstream,mainstream,general_belief_mainstream,physically-disabled person | Jewish person | African person | non-binary person | lifelong Democrat
6,3,6,18,majority_mainstream,skeptical,general_belief_skeptical,able-bodied person | Jewish person | Caucasian person | non-binary person | lifelong Democrat
7,1,7,19,majority_mainstream,skeptical,general_belief_skeptical,able-bodied person | Religious person | Caucasian person | woman | lifelong Republican
7,2,7,20,majority_mainstream,mainstream,general_belief_mainstream,able-bodied person | Religious person | Hispanic person | non-binary person | lifelong Republican
7,3,7,21,majority_mainstream,mainstream,general_belief_mainstream,able-bodied person | Christian person | Caucasian person | woman | lifelong Democrat
8,1,8,22,majority_mainstream,skeptical,general_belief_skeptical,able-bodied person | Religious person | Hispanic person | non-binary person | lifelong Democrat
8,2,8,23,majority_mainstream,mainstream,general_belief_mainstream,physically-disabled person | Christian person | Caucasian person | woman | lifelong Democrat
8,3,8,24,majority_mainstream,mainstream,general_belief_mainstream,physically-disabled person | Religious person | Hispanic person | man | lifelong Democrat
9,1,9,25,majority_mainstream,mainstream,general_belief_mainstream,able-bodied person | Christian person | African person | transgender man | lifelong Democrat
